SetID,Number,Variant,Theme,SubTheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,Image,ImageFilename,InstructionsAvailable,EAN,UPC
7326,"102a","1","LEGOLAND","Construction","1970","Front-End Loader",,57,,,,"True","0102a-1","",""
9727,"4066pb004","1","Promotional","Bricks","2001","Brick Or Treat 2001",,1,,0,,"False","","",""
9728,"4066pb202","1","Promotional","Bricks","2005","Miniland New York 2005",,1,,0,,"False","","",""
9650,"4066pb223","1","Promotional","Bricks","2004","Legoland California 5th Birthday",,1,,0,,"False","","",""
9646,"4066pb232","1","Promotional","Bricks","2004","LEGO Store Riem Arcade Munich Opening",,1,,,,"False","","",""
9648,"4066pb242","1","Promotional","Bricks","2004","Miniland Florida",,1,,0,,"False","","",""
9649,"4066pb244","1","Promotional","Bricks","2004","Summer Sports Jam 2004",,1,,0,,"False","","",""
9647,"4066pb364","1","Promotional","Bricks","2010","BEN 10 After Dark 2010",,1,0,,,"False","","",""
7455,"442A","1","Classic","Accessories","1971","International Flags",,6,,,,"False","","",""
1232,"670F","1","Racers","Radio-Control","2004","Wheels Pack",,10,,,,"True","670F-1","",""
1,"671F","1","Racers","Radio-Control","2004","Antenna Pack",,13,,,,"True","671F-1","",""
4690,"673F","1","Racers","Radio-Control","2004","Gearbox Pack",,6,,,,"True","673F-1","",""
9327,"6-99","1","Star Wars","Promotional","2005","Darth Vader (NÃ¼rnberg Toy Fair 2005 Exclusive Figure)",,2,,,,"False","","",""
9431,"852445a","1","Promotional","Key Chain","2008","Gold Brick with 50 Year Anniversary Logo Key Chain",,,,0,,"False","","",""
9434,"973pb507c01","1","Promotional","Minifigure","2009","LEGO World Denmark 2009 Minifigure",,4,,,,"False","","",""
9780,"Alpharetta","1","Promotional","LEGO Store Grand Opening Set","2012","Alpharetta Exclusive Minifigure Pack",,15,,0,,"True","Alpharetta-1","",""
8025,"ann2011","1","Gear","Books/Miscellaneous","2010","LEGO Official Annual 2011",,,,,,"True","ann2011-1","",""
9627,"ann2012","1","Gear","Books/Miscellaneous","2011","LEGO Official Annual 2012",,,7.99,,,"False","","",""
8180,"Annapolis","1","Promotional","LEGO Store Grand Opening Set","2009","{Chessie}",,45,,,,"True","Annapolis-1","",""
8158,"Austin","1","Promotional","LEGO Store Grand Opening Set","2010","{Bat}",,82,,0,,"True","Austin-1","",""
4575,"B001","1","Bulk Bricks","","2000","1x4x5 Black Window Frames, Transparent Blue Panes",,20,,,,"True","B001-1","",""
4576,"B002","1","Bulk Bricks","","2000","1x4x3 Thin Wall Element, Clear",,25,,,,"True","B002-1","",""
4577,"B003","1","Bulk Bricks","","2000","1x4x6 Red Door and Frames, Transparent Green Panes",,10,,9.99,,"True","B003-1","",""
4578,"B004","1","Bulk Bricks","","2000","2 x 4 Ridge Roof Tiles, Low Sloped Black",,25,,,,"True","B004-1","",""
4579,"B005","1","Bulk Bricks","","2000","2 x 4 Ridge Roof Tiles, Low Sloped Red",,25,,4.99,,"True","B005-1","",""
5897,"B014","1","Gear","Magnets/City","2006","City Mini-Figure Magnets",,,4.99,,,"True","b014-1","",""
5487,"B031","1","Gear","Books/Bionicle","2006","Dark Hunters",,,,,,"True","B031-1","",""
6300,"B032","1","Gear","Books/Exo-Force","2007","EXO-FORCE #3: Search for the Golden City",,,,3.99,,"True","b032-1","",""
5624,"B048","1","Gear","Books/Bionicle","2006","Bionicle Legends #3: Power Play",,,,4.99,,"True","b048-1","",""
5817,"B058","1","Gear","Books/Bionicle","2006","Bionicle Legends #5: Inferno",,,,4.99,,"True","B058-1","",""
5836,"B074","1","Gear","Books/Bionicle","2006","BIONICLE Legends #4: Legacy of Evil",,,,4.99,,"True","B074-1","",""
5829,"B082","1","Gear","Books/Exo-Force","2006","EXO-FORCE #1: Escape from Sentai Mountain",,,,3.99,,"True","B082-1","",""
5830,"B090","1","Gear","Books/Exo-Force","2006","EXO-FORCE #2: Attack of the Robots",,,,3.99,,"True","B090-1","",""
9601,"b09stk01","1","Gear","Books","2009","LEGO Minifigure Ultimate Sticker Collection",,,7.99,,,"False","","",""
4979,"B100","1","Gear","Books/Miscellaneous","1998","Crazy Action Contraptions",,64,,19.99,,"True","B100-1","",""
6899,"B110","1","Gear","Books/Miscellaneous","2008","Crazy Action Contraptions Vol. 2",,,,,,"True","b110-1","",""
6301,"B112","1","Gear","Books/Exo-Force","2007","EXO-FORCE Collector's Guide",,,,5.99,,"True","b112-1","",""
9512,"b12frnd","1","Promotional","Book / Comic","2012","Friends Special Edition",,,,,,"False","","",""
4580,"B156","1","Gear","Books/Bionicle","2003","Bionicle: The Official Guide",,,,,,"True","B156-1","",""
4581,"B164","1","Gear","Books/Bionicle","2003","Bionicle Chronicles #1: Tale of the Toa",,,,,,"True","B164-1","",""
4582,"B172","1","Gear","Books/Bionicle","2003","Bionicle Chronicles #2: Beware the Bohrok",,,,,,"True","B172-1","",""
4583,"B180","1","Gear","Books/Bionicle","2003","Bionicle: Mask of Light Movie Novelization",,,,,,"True","B180-1","",""
4789,"B194","1","Gear","Books/Bionicle","2005","Bionicle Adventures #7: Web of the Visorak",,,,,,"True","B194-1","",""
4584,"B199","1","Gear","Books/Bionicle","2003","Bionicle Chronicles #3: Makuta's Revenge",,,,,,"True","B199-1","",""
4585,"B202","1","Gear","Books/Bionicle","2003","Bionicle Collector's Sticker Book",,,,,,"True","B202-1","",""
4790,"B216","1","Gear","Books/Bionicle","2005","Bionicle Adventures #8: Challenge of the Hordika",,,,,,"True","B216-1","",""
4586,"B220","1","Gear","Books/Bionicle","2004","Bionicle Adventures #5: Voyage of Fear",,,,,,"True","B220-1","",""
4705,"B239","1","Gear","Books/Bionicle","2004","Bionicle Adventures #6: Maze of Shadows",,,,,,"True","B239-1","",""
4587,"B310","1","Gear","Books/Bionicle","2004","Bionicle Adventures #1: Mystery of Metru Nui",,,,,,"True","B310-1","",""
4980,"B321","1","Gear","Books/Knights' Kingdom","2005","Welcome to the Kingdom of Morcia: A Sticker Storybook",,,,,,"True","B321-1","",""
4588,"B329","1","Gear","Books/Bionicle","2004","Bionicle Adventures #2: Toa Metru vs. Morbuzakh!",,,,,,"True","B329-1","",""
4589,"B337","1","Gear","Books/Bionicle","2004","Bionicle Adventures #3: The Darkness Below",,,,,,"True","B337-1","",""
4590,"B345","1","Gear","Books/Bionicle","2004","Bionicle Metru Nui: City of Legends Guide",,,,,,"True","B345-1","",""
4591,"B478","1","Gear","Books/Bionicle","2004","Bionicle Adventures #4: Legends of Metru Nui",,,,,,"True","B478-1","",""
4592,"B500","1","Gear","Books/Dorling Kindersley","1999","The Ultimate LEGO Book",,,,,,"True","B500-1","",""
6218,"B506","1","Gear","Books/Mindstorms","2007","Mindstorms NXT Idea Book: Design, Invent and Build",,,,29.95,,"True","b506-1","",""
4921,"B536","1","Gear","Books/Bionicle","2005","Bionicle Chronicles Boxed Set",,,,,,"True","B536-1","",""
5071,"B542","1","Gear","Books/Miscellaneous","2005","The Unofficial LEGOÂ® Builder's Guide",,,,24.95,,"True","B542-1","",""
4593,"B565","1","Gear","Books/Mindstorms","2004","Jin Sato's LEGO Mindstorms: The Master's Technique",,,,,,"True","B565-1","",""
5245,"B586","1","Gear","Books/Bionicle","2005","Bionicle Adventures #9: Web of Shadows",,,,,,"True","B586-1","",""
5246,"B594","1","Gear","Books/Bionicle","2005","Bionicle Adventures #10: Time Trap",,,,,,"True","B594-1","",""
5402,"B608","1","Gear","Books/Bionicle","2006","Bionicle Legends: Island of Doom #1",,,,,,"True","b608-1","",""
5247,"B616","1","Gear","Books/Bionicle","2005","Bionicle Encyclopedia",,,,6.99,,"True","B616-1","",""
4594,"B706","1","Gear","Books/Bionicle","2004","Bionicle Chronicles #4: Tales of the Masks",,,,,,"True","B706-1","",""
6713,"B8516","1","Gear","Clothing","2008","Batman T-Shirt",,,,,,"True","b8516-1","",""
6061,"B8518","1","Gear","Clothing","2006","Exo-Force T-Shirt",,,9.99,,,"True","b8518-1","",""
5974,"B915","1","Gear","Books/Mindstorms","2007","Maximum LEGO NXT: Building Robots with Java Brains",,,,32.95,,"True","b915-1","",""
5416,"B955","1","Gear","Books/Bionicle","2006","Bionicle Legends #2: Dark Destiny",,,,4.99,,"True","B955-1","",""
5597,"BAG14","1","Quatro","","2006","Bag of Bricks",,15,,7.99,,"True","bag14-1","",""
5406,"BAG2","1","Bulk Bricks","","2006","1x1 Stud Light Grey",,90,,2.99,,"True","bag2-1","",""
5405,"BAG3","1","Bulk Bricks","","2006","1x1 Stud Medium Grey",,90,,2.99,,"True","bag3-1","",""
5404,"BAG4","1","Bulk Bricks","","2006","1x1 Stud Dark Grey",,90,,2.99,,"True","bag4-1","",""
5403,"BAG5","1","Bulk Bricks","","2006","1x1 Stud Black",,90,,,,"True","bag5-1","",""
5496,"BAG6","1","Bulk Bricks","","2006","Grey Brick Separator with Black Frame Pieces",,56,,,,"True","bag6-1","",""
706,"BAT8369","1","Racers","Radio-Control","2004","Battery Pack",,6,,,,"True","BAT8369-1","",""
9509,"batcom01","1","Promotional","Book / Comic","2006","Batman Secret Files & Origins - Special Collectors Edition",,,,,,"False","","",""
9508,"BauMit","1","Promotional","Miscellaneous","1999","BAU MIT!",,1,,,,"False","","",""
9532,"bb173","1","Gear","Storage","1975","Holdall Storage Bag",,,,,,"False","","",""
